"CategoryID";"Name";"Description"
1;"Electronics";"Gadgets, devices, and computer hardware"
2;"Apparel";"Clothing, footwear, and accessories"
3;"Home & Kitchen";"Furniture, cookware, and home decor"
4;"Books";"Physical books, e-books, and audiobooks"
5;"Sports & Outdoors";"Fitness gear, camping equipment, and sportswear"
6;"Beauty & Personal Care";"Cosmetics, skincare, and hair products"
7;"Automotive";"Car parts, tools, and accessories"
8;"Toys & Games";"Board games, action figures, and puzzles"
9;"Groceries";"Packaged food, snacks, and beverages"
10;"Office Supplies";"Stationery, notebooks, and desk organizers"
