"ReceiptID";"TransactionID";"ProductID";"Quantity";"PriceAtPurchase"
1;1;18;1;249.99
2;2;35;1;28.5
3;3;2;1;89.5
4;4;36;1;13.5
5;5;15;1;19.95
6;5;29;1;45.0
7;5;38;3;21.0
8;5;18;2;249.99
9;6;14;1;45.0
10;6;22;1;18.5
11;7;23;1;65.0
12;7;39;3;32.0
13;7;17;2;115.0
14;8;6;2;120.0
15;8;36;3;13.5
16;8;19;1;24.5
17;8;40;3;44.99
18;9;19;1;24.5
19;9;6;1;120.0
20;10;24;3;26.99
21;10;11;2;39.99
22;10;23;3;65.0
23;10;14;3;45.0
24;11;35;1;28.5
25;11;16;2;34.99
26;12;21;1;34.0
27;12;4;1;79.99
28;13;5;3;65.0
29;13;14;2;45.0
30;13;37;1;12.5
31;14;30;1;16.99
32;14;10;3;180.0
33;14;17;3;115.0
34;14;9;3;145.0
35;15;38;1;21.0
36;15;26;3;79.99
37;15;24;2;26.99
38;15;15;1;19.95
39;16;10;3;180.0
40;17;39;3;32.0
41;17;5;2;65.0
42;17;25;3;14.99
43;17;30;1;16.99
44;18;35;2;28.5
45;19;8;1;22.5
46;19;19;2;24.5
47;19;28;1;59.99
48;20;33;3;14.99
49;20;12;2;28.0
50;20;7;3;85.0
51;21;10;1;180.0
52;21;24;3;26.99
53;22;39;2;32.0
54;23;24;2;26.99
55;24;37;1;12.5
56;24;6;3;120.0
57;25;9;3;145.0
58;25;31;1;129.0
59;26;14;2;45.0
60;26;35;3;28.5
61;26;13;3;29.99
62;26;20;2;42.0
63;27;8;2;22.5
64;27;16;1;34.99
65;27;15;3;19.95
66;27;5;3;65.0
67;28;1;3;199.99
68;28;5;3;65.0
69;29;3;2;349.99
70;30;18;1;249.99
71;30;32;3;38.5
72;31;16;1;34.99
73;31;31;1;129.0
74;31;27;3;45.0
75;31;13;2;29.99
76;32;30;3;16.99
77;32;4;2;79.99
78;32;7;1;85.0
79;32;26;1;79.99
80;33;9;2;145.0
81;33;28;1;59.99
82;33;12;1;28.0
83;33;18;2;249.99
84;34;35;1;28.5
85;35;11;2;39.99
86;35;27;2;45.0
87;36;11;2;39.99
88;37;30;3;16.99
89;37;19;3;24.5
90;37;28;3;59.99
91;38;10;1;180.0
92;38;13;3;29.99
93;38;19;3;24.5
94;38;14;3;45.0
95;39;4;3;79.99
96;39;38;3;21.0
97;39;31;1;129.0
98;40;12;1;28.0
99;41;26;3;79.99
100;41;8;1;22.5
101;42;40;1;44.99
102;43;17;1;115.0
103;43;14;2;45.0
104;43;21;2;34.0
105;44;30;1;16.99
106;44;21;2;34.0
107;44;5;3;65.0
108;45;35;1;28.5
109;46;23;1;65.0
110;46;5;2;65.0
111;47;35;1;28.5
112;47;20;3;42.0
113;47;40;3;44.99
114;47;34;2;22.0
115;48;17;1;115.0
116;48;8;3;22.5
117;49;19;3;24.5
118;49;39;2;32.0
119;49;14;1;45.0
120;50;33;1;14.99
121;50;32;1;38.5
122;50;17;3;115.0
123;51;1;2;199.99
124;52;11;3;39.99
125;52;29;2;45.0
126;52;36;3;13.5
127;53;10;3;180.0
128;54;28;1;59.99
129;54;9;2;145.0
130;55;14;2;45.0
131;55;16;3;34.99
132;55;7;2;85.0
133;56;16;1;34.99
134;56;11;2;39.99
135;57;27;1;45.0
136;57;16;3;34.99
137;57;18;1;249.99
138;58;15;2;19.95
139;58;13;1;29.99
140;58;30;1;16.99
141;58;23;1;65.0
142;59;22;3;18.5
143;59;18;3;249.99
144;59;5;2;65.0
145;59;23;3;65.0
146;60;8;2;22.5
147;61;3;2;349.99
148;61;7;2;85.0
149;61;39;3;32.0
150;62;25;3;14.99
151;63;28;1;59.99
152;64;24;1;26.99
153;64;28;3;59.99
154;65;8;2;22.5
155;65;20;3;42.0
156;65;33;2;14.99
157;66;36;2;13.5
158;66;9;3;145.0
159;66;13;2;29.99
160;67;40;2;44.99
161;67;37;2;12.5
162;68;19;3;24.5
163;68;14;3;45.0
164;68;28;3;59.99
165;69;29;3;45.0
166;69;14;1;45.0
167;69;33;3;14.99
168;69;31;1;129.0
169;70;6;1;120.0
170;70;16;1;34.99
171;70;20;1;42.0
172;71;31;1;129.0
173;71;40;2;44.99
174;72;25;2;14.99
175;72;32;1;38.5
176;73;7;2;85.0
177;74;4;2;79.99
178;74;36;1;13.5
179;74;16;2;34.99
180;74;8;3;22.5
181;75;29;2;45.0
182;75;40;3;44.99
183;75;33;2;14.99
184;76;29;3;45.0
185;76;17;2;115.0
186;76;16;3;34.99
187;76;18;1;249.99
188;77;19;1;24.5
189;78;35;1;28.5
190;78;6;1;120.0
191;78;9;2;145.0
192;79;5;2;65.0
193;79;27;2;45.0
194;80;4;3;79.99
195;80;14;3;45.0
196;80;27;1;45.0
197;80;25;3;14.99
198;81;23;2;65.0
199;82;35;1;28.5
200;82;39;2;32.0
201;82;15;2;19.95
202;82;32;2;38.5
203;83;26;1;79.99
204;83;11;3;39.99
205;83;30;3;16.99
206;84;6;3;120.0
207;85;12;2;28.0
208;85;4;1;79.99
209;85;17;2;115.0
210;85;25;2;14.99
211;86;18;2;249.99
212;86;27;1;45.0
213;86;17;3;115.0
214;86;6;3;120.0
215;87;5;1;65.0
216;87;3;1;349.99
217;88;16;2;34.99
218;88;9;3;145.0
219;89;30;2;16.99
220;89;17;1;115.0
221;90;11;2;39.99
222;91;20;3;42.0
